placeholder,excel_sheet_match,excel_cell,pdf_field,pdf_page,pdf_anchor,pdf_bbox,extract_rule,note
[1],Bìa,A36,student_name,1,Họ và tên học sinh:,"69.8,633.6,359.1,649.7",after_colon,
[2],Bìa,A38,school,1,Trường:,"69.8,669.7,309.8,685.8",after_colon,
[3],Bìa,A40,ward,1,"Xã (Phường, Đặc khu):","69.8,705.7,349.0,721.9",after_colon,
[4],Bìa,A42,district,1,Không có trong PDF mẫu,,leave_blank,
[5],Bìa,A44,province,1,Tỉnh (Thành phố):,"69.8,741.8,277.6,758.0",after_colon,
[6],Thông tin,A4,student_name,3,Họ và tên học sinh:,"51.4,106.5,302.7,121.0",after_colon,
[7],Thông tin,P4,gender,3,Giới tính:,"387.7,106.5,460.1,121.0",after_colon,
[8],Thông tin,A5,birth_date,3,"Ngày, tháng, năm sinh:","51.4,129.6,233.0,144.0",after_colon,
[9],Thông tin,K5,ethnicity,3,Dân tộc:,"275.6,129.6,351.3,144.0",after_colon,
[10],Thông tin,P5,nationality,3,Quốc tịch:,"387.7,129.6,499.3,144.0",after_colon,
[11],Thông tin,A6,birth_place,3,Nơi sinh:,"51.4,152.6,101.1,167.1",after_colon_or_blank,
[12],Thông tin,A7,hometown,3,Quê quán:,"51.4,175.7,105.7,190.1",after_colon_or_blank,
[13],Thông tin,A8,address,3,Nơi ở hiện nay:,"51.4,198.7,475.3,213.2",after_colon,
[14],Thông tin,A9,father,3,Họ và tên cha:,"51.4,221.7,214.6,236.2",after_colon,
[15],Thông tin,A10,mother,3,Họ và tên mẹ:,"51.4,244.8,262.2,259.2",after_colon,
[16],Thông tin,A11,guardian,3,Người giám hộ(nếu có):,"51.4,267.8,180.9,282.3",after_colon_or_blank,
[17],Thông tin,K14,sign_date,3,ngày ... tháng ... năm ...,"246.0,302.4,497.6,316.8",regex_date_line,
[18],Thông tin,K21,principal,3,Tên hiệu trưởng,"304.8,461.4,439.4,475.8",name_after_signature,
[19],Thông tin,A28,school_year,7,Năm học,"69.4,111.8,118.9,124.5",table_col_nam_hoc,
[20],Thông tin,D28,class_name,7,Lớp,"134.3,104.8,153.8,124.5",table_col_lop,
[21],Thông tin,F28,school,7,Tên trường,"156.0,104.8,378.9,131.4",table_col_ten_truong,
[22],Thông tin,M28,school_register_no,7,Sổ đăng bộ,,leave_blank,PDF mẫu không có số đăng bộ
[23],Thông tin,Q28,entry_date,7,Ngày nhập học chuyển đến,"453.8,111.1,515.6,125.6",table_col_ngay_nhap_hoc,
[24],MH,A1,student_name,4,Họ và tên học sinh:,"62.9,32.8,318.1,47.3",after_colon,
[25],MH,O1,class_name,4,Lớp:,"372.4,32.8,424.2,47.3",after_colon,
[26],MH,A2,height,4,Chiều cao:,"62.9,55.9,165.2,70.3",after_colon,
[27],MH,O2,weight,4,Cân nặng:,"372.4,55.9,458.0,70.3",after_colon,
[28],MH,A3,absent_allowed,4,Số ngày nghỉ có phép:,"62.9,78.9,192.3,93.4",after_colon,
[29],MH,O3,absent_not_allowed,4,Số ngày nghỉ không phép:,"372.4,78.9,521.8,93.4",after_colon,
